"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PAR","PAR Technology Corporation","5.506","$85.57M","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/par",
"PGN","Paragon Offshore plc","0.2577","$22.16M","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pgn",
"PGRE","Paramount Group, Inc.","17.89","$3.79B","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pgre",
"PKE","Park Electrochemical Corporation","17.04","$345.12M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/pke",
"PKD","Parker Drilling Company","3.1","$381.8M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pkd",
"PH","Parker-Hannifin Corporation","100.05","$13.85B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ph",
"PKY","Parkway Properties, Inc.","17.02","$1.97B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pky",
"PE","Parsley Energy, Inc.","17.09","$2.41B","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pe",
"PRE","PartnerRe Ltd.","139.18","$6.66B","1993","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/pre",
"PRE^D","PartnerRe Ltd.","26.91","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^d",
"PRE^E","PartnerRe Ltd.","28.61","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^e",
"PRE^F","PartnerRe Ltd.","25.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pre^f",
"PRTY","Party City Holdco Inc.","16.9","$2.02B","2015","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prty",
"PN","Patriot National, Inc.","12.33","$329.22M","2015","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/pn",
"PAYC","Paycom Software, Inc.","40.84","$2.33B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/payc",
"PBF","PBF Energy Inc.","32.11","$3.05B","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/pbf",
"PBFX","PBF Logistics LP","21.25","$729.46M","2014","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/pbfx",
"BTU","Peabody Energy Corporation","24","$445.21M","2001","Energy","Coal Mining","http://www.nasdaq.com/symbol/btu",
"PSO","Pearson, Plc","18.46","$15.14B","n/a","Consumer Services","Books","http://www.nasdaq.com/symbol/pso",
"PEB","Pebblebrook Hotel Trust","37.3","$2.68B","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/peb",
"PEB^A","Pebblebrook Hotel Trust","25.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peb^a",
"PEB^B","Pebblebrook Hotel Trust","26.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peb^b",
"PEB^C","Pebblebrook Hotel Trust","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peb^c",
